mtw50058_num,sha,sha_prog_port_codes,sha_exit,kcha_modified,kcha_eop,kcha_exit,common_name
01a,agencyname1a,,,h1a,,,agency
02a,actiontype2a,,,h2a,HUD-50058 2a Type of Action,Certification Type,act_type
02a,certtype,,,,,,act_type
02a,actiontypedesc2a,,,certificationtype,,,act_type_text
02b,effectivedateofaction2b,,MOVE_OUT_DATE,h2b,Effective Date,Effective Date,act_date
02b,effectivedate,,Move Out Date,,,,act_date
02c,,,,h2c,,,correction
02d,,,,h2d,,,correction_date
02f,repaymentagreement2f,,,,,,repayment
02g,monthlyamountofrepaymentagreement2g,,,,,,repay_amount
02h,dateofadmission2h,,,h2h,,HUD-50058 2h Date of Admission to Program,admit_date
02h,earliestmovein,,,,,,admit_date
02i,projectedeffectivedateofnextreexam2i,,,,,,reexam_date
02i,projectedeffectivedateofnextreex,,,,,,reexam_date
02i,nextreexamdate,,,,,,reexam_date
02i,projectedeffectivedatofnextreexam2i,,,,,,reexam_date
02j,dateofadmissiontomtwprogram2j,,,,,,mtw_admit_date
02k,familyselfsufficiency,,,,,,fss
02k,fssparticipationnoworinlastyear2k,,,,,,fss
02m,mtwselfsufficiencyparticipationnoworinlastyear2m,,,,,,mtw_self_suff
03a,membno,,,,,,mbr_num
03a,membernumber3a,,,mbr_num,,,mbr_num
03a,,,,h3a,,,mbr_num_old
03b,lastname3b,,LAST_NAME,h3b,,,lname
03b,memberlastname3b,,Last Name,,,,lname
03b,lastname,,,,,,lname
03b1,suffix,,,,,,lnamesuf
03c,firstname3c,,FIRST_NAME,h3c,,,fname
03c,memberfirstname3c,,First Name,,,,fname
03c,firstname,,,,,,fname
03d,middleinitial3d,,MI,h3d,,,mname
03d,membermiddleinitial3d,,Middle Name,,,,mname
03d,mi,,,,,,mname
03e,dateofbirth3e,,DOB,h3e,,,dob
03e,dob,,,,,,dob
03g,sex3g,,,h3g,,,gender
03g,gender,,,,,,gender
03h,memberrelationcode3h,,,h3h,,,relcode
03h,relation,,,,,,relcode
,relationdescription,,,,,,rel_text
03i,citizenship,,,,,,citizen
03i,citizenship3i,,,h3i,,,citizen
03j,disability3j,,,h3j,,,disability
03j,disability,,,,,,disability
03k,raceshacombined3k,,,,,,race
03k1,racewhiteindicator3k1,,,h3k1,,,r_white
03k1,racewhite,,,,,,r_white
03k1,racewhiteindicator3ky,,,,,,r_white
03k2,raceblackafricanamericanindicator3k2,,,h3k2,,,r_black
03k2,raceblack,,,,,,r_black
03k3,raceamericanindianalaskanativeindicator3k3,,,h3k3,,,r_aian
03k3,racenativeamerican,,,,,,r_aian
03k4,raceasianindicator3k4,,,h3k4,,,r_asian
03k4,raceasian,,,,,,r_asian
03k5,racenativehawaiinotherpacificislanderindicator3k5,,,h3k5,,,r_nhpi
03k5,racenativehawaiianotherpacificislanderindicator3k5,,,,,,r_nhpi
03k5,racepacificislander,,,,,,r_nhpi
03m,ethnicity3m,,,h3m,,,r_hisp
03m,ethnicity,,,,,,r_hisp
03n,familymemberssn3n,,SSN,h3n,,,ssn
03n,ssn,,,,,,ssn
03n,ssn3n,,,,,,ssn
03t,numberofhouseholdmembers3t,,,,,Household Size,hh_size
03t,householdsize,,,,,,hh_size
03t,numberofhouseholdmembers3thead,,,,,,hh_size
03u,familysubsidystatusundernoncitizenrule3u,,,,,,noncit_subsidy
04a,dateenteredwaitinglist4a,,,,,,list_date
04b,zipatmovein,,,,,,list_zip
04b,zipcodebeforeadmission4b,,,box04b,,,list_zip
04c,homelessatadmission4c,,,box04c,,,list_homeless
04c,homeless,,,,,,list_homeless
04e,assistedunderthe1937housingact4e,,,,,,housing_act
05a1a,unitaddressnumberandstreet5a,,PrimaryStreet,h5a1a,,,geo_add1_raw
05a1a,staddress1,,,,,,geo_add1_raw
