sha_2017,kcha_2017,common_name,explanation
HeadOfHouseholdID,appnumber,app_num,Application number (one per household)
HouseholdMemberID,memberrecid,app_mbr_num,Individual ID associated with applicant (not unique for SHA)
,membernumber,mbr_num,Household member number
,,hh_mbr_num,Head of household ID1
HeadOfHouseholdID2,,hh_mbr_num2,Head of household ID2 (seems to be a straight duplicate of HeadOfHouseholdID)
HOH_SSN,,hh_ssn,Head of household Social Security Number
HOH_LastName,,hh_lname,Head of household last name
HOH_FirstName,,hh_fname,Head of household first name
HOH_MiddleInitial,,hh_mname,Head of household middle initial
HOH_DateOfBirth,,hh_dob,Head of household date of birth
HOH_Gender,,hh_gender,Head of household gender
HOH_IsDisabled,,hh_disability,Head of household disability flag
HOH_IsWhite,,hh_r_white,Head of household race - White
HOH_IsAfricanAmerican,,hh_r_black,Head of household race - Black
HOH_IsNativeAmerican,,hh_r_aian,Head of household race - American Indian/Alaskan Native
HOH_IsAsian,,hh_r_asian,Head of household race - Asian
HOH_IsHawaiianPacificIslander,,hh_r_nhpi,Head of household race - Native Hawaiian/Pacific Islander
HOH_Ethnicity,,hh_r_hisp,Head of household race - Latinx
HOH_EducationLevel,,hh_education,Head of household education level
EducationLevel,,hh_education,"Head of household education level (even though it it is not flagged as head of household, each HH member has the same value)"
HOH_IsHouseholdMemberVeteran,,hh_veteran,Head of household veteran flag
HOH_IsEnglishPrimaryLanguage,,lang_eng,Flag to indicate English is primary household language
IsEnglishPrimaryLanguage,,lang_eng,Flag to indicate English is primary household language
HOH_PrimaryLanguage,,lang,Primary household language
PrimaryLanguage,primarylanguage,lang,Primary household language
HOH_IsInterpreterNeeded,,lang_interpreter,Interpreter required
IsInterpreterNeeded,translationneeded,lang_interpreter,Interpreter required
LastName,lname,lname,Last name
FirstName,fname,fname,First name
MiddleInitial,mi,mname,Middile initial
,fullname,name,Collated first and last name
DOB,dob,dob,Date of birth
DateOfBirth,,dob,Date of birth
,age,age,Age (assume calculated at time of application)
,cmto_under15,cmto_under15,Candidate for Moving to Opportunity - aged under 15?
,cmto_under13,cmto_under13,Candidate for Moving to Opportunity - aged under 13?
Gender,sex,gender,Gender
Relationship,relationship,relcode,Relationship to head of household
SSN,ssn,ssn,Social Security Number
,nossn,ssn_missing,Flag to indicate missing SSN
,dup_ssn,ssn_dup,Flag to indicate duplicate SSN?
IsDisabled,disabled,disability,Disability flag
,non_elderly_disabled,non_elderly_disabled,Flag to indicate non-elderly disabled individual
IsWhite,white,r_white,Race - White
IsAfricanAmerican,black,r_black,Race - Black
IsNativeAmerican,indian,r_aian,Race - American Indian/Alaskan Native
IsAsian,asian,r_asian,Race - Asian
